2026/05/11 22:49:01.780, 146 MiB, 16303 MiB, 5 %, 49, 21.26 W
2026/05/11 22:49:06.787, 12251 MiB, 16303 MiB, 5 %, 50, 25.02 W
2026/05/11 22:49:11.787, 12253 MiB, 16303 MiB, 19 %, 51, 27.20 W
2026/05/11 22:49:16.788, 389 MiB, 16303 MiB, 1 %, 51, 21.83 W
2026/05/11 22:49:21.788, 146 MiB, 16303 MiB, 9 %, 50, 16.20 W
2026/05/11 22:49:26.788, 146 MiB, 16303 MiB, 31 %, 50, 23.03 W
2026/05/11 22:49:31.789, 146 MiB, 16303 MiB, 10 %, 50, 25.99 W
2026/05/11 22:49:36.790, 146 MiB, 16303 MiB, 25 %, 51, 32.46 W
2026/05/11 22:49:41.790, 12251 MiB, 16303 MiB, 10 %, 53, 42.67 W
2026/05/11 22:49:46.791, 12253 MiB, 16303 MiB, 3 %, 51, 27.39 W
2026/05/11 22:49:51.792, 12353 MiB, 16303 MiB, 30 %, 52, 30.10 W
2026/05/11 22:49:56.793, 12353 MiB, 16303 MiB, 0 %, 51, 20.79 W
2026/05/11 22:50:01.794, 12357 MiB, 16303 MiB, 91 %, 55, 38.27 W
2026/05/11 22:50:06.794, 14043 MiB, 16303 MiB, 22 %, 54, 64.77 W
2026/05/11 22:50:11.795, 14051 MiB, 16303 MiB, 0 %, 51, 20.57 W
2026/05/11 22:50:16.795, 14073 MiB, 16303 MiB, 99 %, 61, 157.14 W
2026/05/11 22:50:21.796, 14073 MiB, 16303 MiB, 99 %, 63, 158.76 W
2026/05/11 22:50:26.796, 14073 MiB, 16303 MiB, 99 %, 65, 158.32 W
2026/05/11 22:50:31.797, 14073 MiB, 16303 MiB, 99 %, 67, 159.24 W
2026/05/11 22:50:36.797, 14073 MiB, 16303 MiB, 99 %, 68, 158.16 W
2026/05/11 22:50:41.798, 14073 MiB, 16303 MiB, 99 %, 70, 158.89 W
2026/05/11 22:50:46.798, 14073 MiB, 16303 MiB, 97 %, 72, 158.09 W
2026/05/11 22:50:51.799, 14073 MiB, 16303 MiB, 99 %, 72, 159.07 W
2026/05/11 22:50:56.799, 14073 MiB, 16303 MiB, 99 %, 73, 159.18 W
2026/05/11 22:51:01.800, 14073 MiB, 16303 MiB, 99 %, 74, 158.79 W
2026/05/11 22:51:06.801, 14073 MiB, 16303 MiB, 99 %, 75, 156.46 W
2026/05/11 22:51:11.801, 14073 MiB, 16303 MiB, 97 %, 76, 157.70 W
2026/05/11 22:51:16.802, 14073 MiB, 16303 MiB, 99 %, 77, 159.37 W
2026/05/11 22:51:21.802, 14073 MiB, 16303 MiB, 99 %, 77, 158.90 W
2026/05/11 22:51:26.803, 14073 MiB, 16303 MiB, 99 %, 78, 158.86 W
2026/05/11 22:51:31.803, 14073 MiB, 16303 MiB, 99 %, 78, 158.64 W
2026/05/11 22:51:36.804, 14073 MiB, 16303 MiB, 98 %, 79, 158.26 W
2026/05/11 22:51:41.805, 14073 MiB, 16303 MiB, 99 %, 80, 159.03 W
2026/05/11 22:51:46.805, 14073 MiB, 16303 MiB, 99 %, 80, 158.99 W
2026/05/11 22:51:51.806, 14073 MiB, 16303 MiB, 0 %, 73, 25.49 W
2026/05/11 22:51:56.806, 14077 MiB, 16303 MiB, 0 %, 70, 24.68 W
2026/05/11 22:52:01.807, 14077 MiB, 16303 MiB, 2 %, 67, 24.89 W
2026/05/11 22:52:06.807, 14079 MiB, 16303 MiB, 91 %, 71, 74.30 W
2026/05/11 22:52:11.808, 14083 MiB, 16303 MiB, 99 %, 75, 158.06 W
2026/05/11 22:52:16.808, 14083 MiB, 16303 MiB, 99 %, 76, 160.37 W
2026/05/11 22:52:21.810, 14083 MiB, 16303 MiB, 99 %, 77, 159.04 W
2026/05/11 22:52:26.810, 14083 MiB, 16303 MiB, 99 %, 78, 158.80 W
2026/05/11 22:52:31.811, 14083 MiB, 16303 MiB, 99 %, 79, 161.20 W
2026/05/11 22:52:36.812, 14083 MiB, 16303 MiB, 99 %, 79, 158.94 W
2026/05/11 22:52:41.821, 14083 MiB, 16303 MiB, 99 %, 80, 159.33 W
2026/05/11 22:52:46.821, 14083 MiB, 16303 MiB, 99 %, 81, 160.92 W
2026/05/11 22:52:51.822, 14083 MiB, 16303 MiB, 99 %, 81, 158.78 W
2026/05/11 22:52:56.823, 14083 MiB, 16303 MiB, 99 %, 82, 165.79 W
2026/05/11 22:53:01.823, 14083 MiB, 16303 MiB, 99 %, 82, 159.19 W
2026/05/11 22:53:06.824, 14083 MiB, 16303 MiB, 97 %, 82, 158.39 W
2026/05/11 22:53:11.824, 14083 MiB, 16303 MiB, 99 %, 82, 158.62 W
2026/05/11 22:53:16.825, 14083 MiB, 16303 MiB, 99 %, 82, 159.24 W
2026/05/11 22:53:21.825, 14083 MiB, 16303 MiB, 99 %, 82, 159.16 W
2026/05/11 22:53:26.826, 14083 MiB, 16303 MiB, 99 %, 82, 159.38 W
2026/05/11 22:53:31.827, 14083 MiB, 16303 MiB, 99 %, 83, 158.87 W
2026/05/11 22:53:36.827, 14083 MiB, 16303 MiB, 99 %, 82, 158.75 W
2026/05/11 22:53:41.828, 14083 MiB, 16303 MiB, 97 %, 83, 158.42 W
2026/05/11 22:53:46.829, 14087 MiB, 16303 MiB, 93 %, 79, 78.81 W
2026/05/11 22:53:51.829, 14087 MiB, 16303 MiB, 99 %, 79, 133.39 W
2026/05/11 22:53:56.830, 14087 MiB, 16303 MiB, 97 %, 81, 157.83 W
2026/05/11 22:54:01.830, 14087 MiB, 16303 MiB, 99 %, 81, 158.99 W
2026/05/11 22:54:06.831, 14087 MiB, 16303 MiB, 99 %, 82, 159.02 W
2026/05/11 22:54:11.831, 14087 MiB, 16303 MiB, 99 %, 82, 159.52 W
2026/05/11 22:54:16.832, 14087 MiB, 16303 MiB, 99 %, 82, 159.15 W
2026/05/11 22:54:21.832, 14087 MiB, 16303 MiB, 99 %, 82, 158.97 W
2026/05/11 22:54:26.833, 14087 MiB, 16303 MiB, 99 %, 82, 158.90 W
2026/05/11 22:54:31.833, 14087 MiB, 16303 MiB, 99 %, 82, 155.88 W
2026/05/11 22:54:36.834, 14087 MiB, 16303 MiB, 97 %, 83, 157.29 W
2026/05/11 22:54:41.834, 14087 MiB, 16303 MiB, 99 %, 83, 158.98 W
2026/05/11 22:54:46.844, 14087 MiB, 16303 MiB, 99 %, 83, 159.74 W
2026/05/11 22:54:51.844, 14087 MiB, 16303 MiB, 99 %, 83, 162.72 W
2026/05/11 22:54:56.845, 14087 MiB, 16303 MiB, 99 %, 83, 159.08 W
2026/05/11 22:55:01.845, 14087 MiB, 16303 MiB, 99 %, 83, 160.04 W
2026/05/11 22:55:06.847, 14087 MiB, 16303 MiB, 99 %, 83, 158.84 W
2026/05/11 22:55:11.847, 14087 MiB, 16303 MiB, 99 %, 83, 158.62 W
2026/05/11 22:55:16.848, 14087 MiB, 16303 MiB, 98 %, 84, 158.24 W
2026/05/11 22:55:21.849, 14087 MiB, 16303 MiB, 99 %, 84, 158.80 W
2026/05/11 22:55:26.858, 14087 MiB, 16303 MiB, 99 %, 84, 158.94 W
2026/05/11 22:55:31.858, 14087 MiB, 16303 MiB, 93 %, 80, 79.08 W
2026/05/11 22:55:36.859, 14087 MiB, 16303 MiB, 99 %, 82, 164.29 W
2026/05/11 22:55:41.860, 14087 MiB, 16303 MiB, 99 %, 82, 159.48 W
2026/05/11 22:55:46.860, 14087 MiB, 16303 MiB, 97 %, 82, 158.04 W
2026/05/11 22:55:51.861, 14087 MiB, 16303 MiB, 99 %, 82, 159.12 W
2026/05/11 22:55:56.861, 14087 MiB, 16303 MiB, 99 %, 83, 159.20 W
2026/05/11 22:56:01.862, 14087 MiB, 16303 MiB, 99 %, 83, 165.06 W
2026/05/11 22:56:06.862, 14087 MiB, 16303 MiB, 99 %, 83, 158.97 W
2026/05/11 22:56:11.863, 14087 MiB, 16303 MiB, 99 %, 83, 159.27 W
2026/05/11 22:56:16.863, 14087 MiB, 16303 MiB, 99 %, 83, 159.43 W
2026/05/11 22:56:21.864, 14087 MiB, 16303 MiB, 99 %, 83, 158.83 W
2026/05/11 22:56:26.865, 14087 MiB, 16303 MiB, 99 %, 83, 159.64 W
2026/05/11 22:56:31.865, 14087 MiB, 16303 MiB, 99 %, 83, 158.72 W
2026/05/11 22:56:36.866, 14087 MiB, 16303 MiB, 99 %, 83, 157.65 W
2026/05/11 22:56:41.866, 14087 MiB, 16303 MiB, 97 %, 84, 158.21 W
2026/05/11 22:56:46.867, 14087 MiB, 16303 MiB, 99 %, 84, 159.90 W
2026/05/11 22:56:51.867, 14087 MiB, 16303 MiB, 99 %, 84, 159.37 W
2026/05/11 22:56:56.868, 14087 MiB, 16303 MiB, 99 %, 84, 158.58 W
2026/05/11 22:57:01.877, 14087 MiB, 16303 MiB, 99 %, 84, 159.24 W
2026/05/11 22:57:06.878, 14087 MiB, 16303 MiB, 99 %, 84, 160.91 W
2026/05/11 22:57:11.878, 14087 MiB, 16303 MiB, 99 %, 84, 160.90 W
2026/05/11 22:57:16.879, 14087 MiB, 16303 MiB, 93 %, 80, 79.43 W
2026/05/11 22:57:21.879, 14087 MiB, 16303 MiB, 99 %, 82, 157.23 W
2026/05/11 22:57:26.880, 14087 MiB, 16303 MiB, 98 %, 83, 158.02 W
2026/05/11 22:57:31.880, 14087 MiB, 16303 MiB, 99 %, 83, 157.87 W
2026/05/11 22:57:36.881, 14087 MiB, 16303 MiB, 99 %, 83, 158.59 W
2026/05/11 22:57:41.881, 14087 MiB, 16303 MiB, 96 %, 84, 157.17 W
2026/05/11 22:57:46.882, 14087 MiB, 16303 MiB, 99 %, 83, 161.16 W
2026/05/11 22:57:51.882, 14087 MiB, 16303 MiB, 99 %, 84, 157.45 W
2026/05/11 22:57:56.883, 14087 MiB, 16303 MiB, 99 %, 83, 158.58 W
2026/05/11 22:58:01.883, 14087 MiB, 16303 MiB, 99 %, 84, 158.48 W
2026/05/11 22:58:06.884, 14087 MiB, 16303 MiB, 99 %, 84, 158.62 W
2026/05/11 22:58:11.884, 14087 MiB, 16303 MiB, 96 %, 85, 154.58 W
2026/05/11 22:58:16.885, 14087 MiB, 16303 MiB, 99 %, 84, 158.83 W
2026/05/11 22:58:21.885, 14087 MiB, 16303 MiB, 99 %, 84, 157.90 W
2026/05/11 22:58:26.886, 14087 MiB, 16303 MiB, 98 %, 85, 146.88 W
2026/05/11 22:58:31.886, 14087 MiB, 16303 MiB, 99 %, 84, 158.91 W
