2026/05/11 21:50:48.084, 146 MiB, 16303 MiB, 10 %, 68, 25.88 W
2026/05/11 21:50:53.090, 12251 MiB, 16303 MiB, 13 %, 68, 42.45 W
2026/05/11 21:50:58.090, 12253 MiB, 16303 MiB, 7 %, 65, 27.32 W
2026/05/11 21:51:03.091, 12353 MiB, 16303 MiB, 30 %, 64, 35.92 W
2026/05/11 21:51:08.092, 12353 MiB, 16303 MiB, 0 %, 62, 22.82 W
2026/05/11 21:51:13.093, 12353 MiB, 16303 MiB, 0 %, 60, 22.42 W
2026/05/11 21:51:18.094, 12357 MiB, 16303 MiB, 91 %, 64, 71.24 W
2026/05/11 21:51:23.094, 14051 MiB, 16303 MiB, 0 %, 59, 22.12 W
2026/05/11 21:51:28.095, 14051 MiB, 16303 MiB, 0 %, 58, 21.77 W
2026/05/11 21:51:33.095, 14053 MiB, 16303 MiB, 0 %, 56, 21.73 W
2026/05/11 21:51:38.096, 14053 MiB, 16303 MiB, 0 %, 55, 13.70 W
2026/05/11 21:51:43.096, 14053 MiB, 16303 MiB, 0 %, 54, 7.38 W
2026/05/11 21:51:48.097, 14053 MiB, 16303 MiB, 0 %, 53, 7.28 W
2026/05/11 21:51:53.098, 14053 MiB, 16303 MiB, 0 %, 52, 7.10 W
2026/05/11 21:51:58.098, 14075 MiB, 16303 MiB, 0 %, 51, 7.07 W
2026/05/11 21:52:03.099, 14075 MiB, 16303 MiB, 99 %, 62, 152.70 W
2026/05/11 21:52:08.099, 14075 MiB, 16303 MiB, 99 %, 65, 158.66 W
2026/05/11 21:52:13.100, 14075 MiB, 16303 MiB, 99 %, 67, 158.49 W
2026/05/11 21:52:18.100, 14075 MiB, 16303 MiB, 99 %, 69, 159.07 W
2026/05/11 21:52:23.101, 14075 MiB, 16303 MiB, 99 %, 70, 158.84 W
2026/05/11 21:52:28.101, 14075 MiB, 16303 MiB, 99 %, 71, 159.14 W
2026/05/11 21:52:33.102, 14075 MiB, 16303 MiB, 99 %, 72, 158.77 W
2026/05/11 21:52:38.103, 14075 MiB, 16303 MiB, 99 %, 74, 159.14 W
2026/05/11 21:52:43.103, 14075 MiB, 16303 MiB, 99 %, 74, 159.17 W
2026/05/11 21:52:48.104, 14075 MiB, 16303 MiB, 99 %, 75, 159.38 W
2026/05/11 21:52:53.104, 14075 MiB, 16303 MiB, 99 %, 76, 158.68 W
2026/05/11 21:52:58.105, 14075 MiB, 16303 MiB, 99 %, 77, 159.56 W
2026/05/11 21:53:03.105, 14075 MiB, 16303 MiB, 99 %, 78, 158.93 W
2026/05/11 21:53:08.106, 14075 MiB, 16303 MiB, 99 %, 78, 159.55 W
2026/05/11 21:53:13.106, 14075 MiB, 16303 MiB, 99 %, 79, 159.01 W
2026/05/11 21:53:18.107, 14075 MiB, 16303 MiB, 99 %, 79, 159.32 W
2026/05/11 21:53:23.108, 14075 MiB, 16303 MiB, 99 %, 80, 160.24 W
2026/05/11 21:53:28.109, 14075 MiB, 16303 MiB, 99 %, 80, 158.98 W
2026/05/11 21:53:33.109, 14075 MiB, 16303 MiB, 96 %, 81, 154.58 W
2026/05/11 21:53:38.110, 14079 MiB, 16303 MiB, 0 %, 71, 25.17 W
2026/05/11 21:53:43.110, 14079 MiB, 16303 MiB, 0 %, 69, 24.34 W
2026/05/11 21:53:48.111, 14081 MiB, 16303 MiB, 93 %, 71, 73.62 W
2026/05/11 21:53:53.111, 14085 MiB, 16303 MiB, 98 %, 75, 146.71 W
2026/05/11 21:53:58.112, 14085 MiB, 16303 MiB, 99 %, 75, 158.21 W
2026/05/11 21:54:03.112, 14085 MiB, 16303 MiB, 99 %, 77, 157.79 W
2026/05/11 21:54:08.113, 14085 MiB, 16303 MiB, 99 %, 78, 161.20 W
2026/05/11 21:54:13.113, 14085 MiB, 16303 MiB, 99 %, 78, 158.67 W
2026/05/11 21:54:18.114, 14085 MiB, 16303 MiB, 97 %, 80, 158.16 W
2026/05/11 21:54:23.115, 14085 MiB, 16303 MiB, 99 %, 80, 159.25 W
2026/05/11 21:54:28.115, 14085 MiB, 16303 MiB, 99 %, 80, 159.49 W
2026/05/11 21:54:33.116, 14085 MiB, 16303 MiB, 99 %, 81, 162.47 W
2026/05/11 21:54:38.116, 14085 MiB, 16303 MiB, 99 %, 81, 158.13 W
2026/05/11 21:54:43.117, 14085 MiB, 16303 MiB, 99 %, 81, 158.74 W
2026/05/11 21:54:48.118, 14085 MiB, 16303 MiB, 99 %, 82, 158.73 W
