timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], temperature.gpu, power.draw [W]
2026/05/11 19:31:49.937, 143 MiB, 16303 MiB, 10 %, 49, 28.59 W
2026/05/11 19:31:54.946, 12249 MiB, 16303 MiB, 0 %, 49, 11.22 W
2026/05/11 19:31:59.946, 12251 MiB, 16303 MiB, 9 %, 50, 25.21 W
2026/05/11 19:32:04.946, 12253 MiB, 16303 MiB, 0 %, 50, 20.65 W
2026/05/11 19:32:09.947, 12265 MiB, 16303 MiB, 0 %, 51, 21.09 W
2026/05/11 19:32:14.947, 12265 MiB, 16303 MiB, 0 %, 50, 20.41 W
2026/05/11 19:32:19.948, 12265 MiB, 16303 MiB, 23 %, 50, 27.36 W
2026/05/11 19:32:24.948, 12265 MiB, 16303 MiB, 44 %, 51, 24.65 W
2026/05/11 19:32:29.949, 12353 MiB, 16303 MiB, 2 %, 49, 21.56 W
2026/05/11 19:32:34.949, 12353 MiB, 16303 MiB, 2 %, 49, 20.97 W
2026/05/11 19:32:39.951, 12357 MiB, 16303 MiB, 4 %, 50, 21.99 W
2026/05/11 19:32:44.951, 12357 MiB, 16303 MiB, 30 %, 50, 28.50 W
2026/05/11 19:32:49.952, 12357 MiB, 16303 MiB, 2 %, 50, 21.46 W
2026/05/11 19:32:54.952, 12357 MiB, 16303 MiB, 7 %, 50, 20.28 W
2026/05/11 19:32:59.953, 12357 MiB, 16303 MiB, 0 %, 49, 20.42 W
2026/05/11 19:33:04.954, 12357 MiB, 16303 MiB, 5 %, 49, 23.59 W
2026/05/11 19:33:09.954, 12357 MiB, 16303 MiB, 0 %, 50, 21.80 W
2026/05/11 19:33:14.955, 12357 MiB, 16303 MiB, 2 %, 51, 23.04 W
2026/05/11 19:33:19.955, 12357 MiB, 16303 MiB, 0 %, 50, 20.88 W
2026/05/11 19:33:24.956, 12357 MiB, 16303 MiB, 0 %, 50, 20.38 W
2026/05/11 19:33:29.956, 12357 MiB, 16303 MiB, 23 %, 49, 19.20 W
2026/05/11 19:33:34.957, 12357 MiB, 16303 MiB, 9 %, 49, 8.98 W
2026/05/11 19:33:39.957, 12357 MiB, 16303 MiB, 6 %, 49, 23.47 W
2026/05/11 19:33:44.958, 12357 MiB, 16303 MiB, 9 %, 48, 9.57 W
2026/05/11 19:33:49.958, 12359 MiB, 16303 MiB, 91 %, 54, 66.85 W
2026/05/11 19:33:54.958, 14051 MiB, 16303 MiB, 14 %, 51, 29.01 W
2026/05/11 19:33:59.959, 14051 MiB, 16303 MiB, 1 %, 50, 21.80 W
2026/05/11 19:34:04.959, 14051 MiB, 16303 MiB, 3 %, 50, 21.84 W
2026/05/11 19:34:09.961, 14053 MiB, 16303 MiB, 0 %, 50, 21.57 W
2026/05/11 19:34:14.964, 14055 MiB, 16303 MiB, 3 %, 51, 22.48 W
2026/05/11 19:34:19.973, 14055 MiB, 16303 MiB, 14 %, 50, 26.42 W
2026/05/11 19:34:24.974, 14055 MiB, 16303 MiB, 0 %, 50, 20.31 W
2026/05/11 19:34:29.974, 14055 MiB, 16303 MiB, 0 %, 49, 14.91 W
2026/05/11 19:34:34.975, 14055 MiB, 16303 MiB, 0 %, 48, 6.55 W
2026/05/11 19:34:39.975, 14075 MiB, 16303 MiB, 0 %, 56, 156.69 W
2026/05/11 19:34:44.976, 14075 MiB, 16303 MiB, 99 %, 59, 157.75 W
2026/05/11 19:34:49.976, 14075 MiB, 16303 MiB, 0 %, 53, 22.11 W
2026/05/11 19:34:54.977, 14077 MiB, 16303 MiB, 0 %, 52, 21.12 W
2026/05/11 19:34:59.978, 14077 MiB, 16303 MiB, 0 %, 51, 20.49 W
2026/05/11 19:35:04.988, 14077 MiB, 16303 MiB, 0 %, 50, 20.37 W
2026/05/11 19:35:09.997, 14077 MiB, 16303 MiB, 0 %, 49, 18.92 W
2026/05/11 19:35:14.998, 14079 MiB, 16303 MiB, 3 %, 49, 21.65 W
2026/05/11 19:35:19.998, 14079 MiB, 16303 MiB, 0 %, 49, 20.48 W
2026/05/11 19:35:24.999, 14079 MiB, 16303 MiB, 0 %, 49, 20.21 W
2026/05/11 19:35:29.999, 14079 MiB, 16303 MiB, 0 %, 48, 16.43 W
2026/05/11 19:35:35.000, 14079 MiB, 16303 MiB, 0 %, 48, 6.45 W
2026/05/11 19:35:40.000, 14079 MiB, 16303 MiB, 0 %, 48, 6.52 W
2026/05/11 19:35:45.001, 14079 MiB, 16303 MiB, 0 %, 47, 6.38 W
2026/05/11 19:35:50.001, 14079 MiB, 16303 MiB, 0 %, 47, 6.41 W
2026/05/11 19:35:55.002, 14079 MiB, 16303 MiB, 0 %, 47, 6.44 W
2026/05/11 19:36:00.002, 14079 MiB, 16303 MiB, 0 %, 46, 6.36 W
2026/05/11 19:36:05.003, 14081 MiB, 16303 MiB, 91 %, 52, 66.17 W
2026/05/11 19:36:10.003, 14083 MiB, 16303 MiB, 99 %, 58, 155.76 W
2026/05/11 19:36:15.004, 14085 MiB, 16303 MiB, 74 %, 56, 48.23 W
2026/05/11 19:36:20.004, 14085 MiB, 16303 MiB, 92 %, 57, 65.46 W
2026/05/11 19:36:25.005, 14085 MiB, 16303 MiB, 99 %, 63, 157.52 W
2026/05/11 19:36:30.014, 14085 MiB, 16303 MiB, 91 %, 60, 69.27 W
2026/05/11 19:36:35.015, 14085 MiB, 16303 MiB, 99 %, 64, 158.01 W
2026/05/11 19:36:40.015, 14085 MiB, 16303 MiB, 99 %, 66, 158.14 W
2026/05/11 19:36:45.016, 14085 MiB, 16303 MiB, 93 %, 62, 67.29 W
2026/05/11 19:36:50.016, 14085 MiB, 16303 MiB, 99 %, 67, 158.65 W
2026/05/11 19:36:55.017, 14085 MiB, 16303 MiB, 99 %, 62, 149.43 W
2026/05/11 19:37:00.017, 14085 MiB, 16303 MiB, 91 %, 64, 71.55 W
2026/05/11 19:37:05.018, 14085 MiB, 16303 MiB, 99 %, 68, 158.53 W
2026/05/11 19:37:10.018, 14085 MiB, 16303 MiB, 93 %, 66, 63.81 W
2026/05/11 19:37:15.019, 14085 MiB, 16303 MiB, 91 %, 69, 72.01 W
2026/05/11 19:37:20.019, 14085 MiB, 16303 MiB, 99 %, 70, 152.75 W
2026/05/11 19:37:25.020, 14085 MiB, 16303 MiB, 91 %, 67, 73.12 W
2026/05/11 19:37:30.020, 14085 MiB, 16303 MiB, 99 %, 71, 157.54 W
2026/05/11 19:37:35.021, 14085 MiB, 16303 MiB, 96 %, 72, 158.06 W
2026/05/11 19:37:40.021, 14085 MiB, 16303 MiB, 93 %, 68, 70.72 W
2026/05/11 19:37:45.022, 14085 MiB, 16303 MiB, 99 %, 72, 160.49 W
2026/05/11 19:37:50.022, 14085 MiB, 16303 MiB, 99 %, 69, 156.84 W
2026/05/11 19:37:55.023, 14085 MiB, 16303 MiB, 91 %, 69, 73.91 W
2026/05/11 19:38:00.023, 14085 MiB, 16303 MiB, 98 %, 73, 181.51 W
2026/05/11 19:38:05.024, 14085 MiB, 16303 MiB, 93 %, 70, 75.51 W
2026/05/11 19:38:10.024, 14085 MiB, 16303 MiB, 93 %, 69, 69.78 W
