2026/05/12 00:09:23.961, 146 MiB, 16303 MiB, 0 %, 45, 22.98 W
2026/05/12 00:09:28.966, 12251 MiB, 16303 MiB, 9 %, 45, 23.42 W
2026/05/12 00:09:33.966, 12253 MiB, 16303 MiB, 3 %, 47, 25.45 W
2026/05/12 00:09:38.967, 12353 MiB, 16303 MiB, 4 %, 47, 22.81 W
2026/05/12 00:09:43.967, 12353 MiB, 16303 MiB, 3 %, 47, 21.05 W
2026/05/12 00:09:48.968, 12353 MiB, 16303 MiB, 9 %, 48, 25.78 W
2026/05/12 00:09:53.968, 12355 MiB, 16303 MiB, 30 %, 48, 28.22 W
2026/05/12 00:09:58.969, 12355 MiB, 16303 MiB, 4 %, 49, 24.89 W
2026/05/12 00:10:03.969, 12355 MiB, 16303 MiB, 0 %, 48, 20.28 W
2026/05/12 00:10:08.970, 12355 MiB, 16303 MiB, 35 %, 48, 29.06 W
2026/05/12 00:10:13.970, 12355 MiB, 16303 MiB, 0 %, 47, 8.51 W
2026/05/12 00:10:18.971, 12355 MiB, 16303 MiB, 0 %, 47, 6.63 W
2026/05/12 00:10:23.971, 12355 MiB, 16303 MiB, 0 %, 46, 6.43 W
2026/05/12 00:10:28.972, 12355 MiB, 16303 MiB, 0 %, 46, 6.42 W
2026/05/12 00:10:33.972, 12357 MiB, 16303 MiB, 91 %, 51, 65.95 W
2026/05/12 00:10:38.973, 14051 MiB, 16303 MiB, 0 %, 47, 20.20 W
2026/05/12 00:10:43.974, 14051 MiB, 16303 MiB, 0 %, 47, 19.97 W
2026/05/12 00:10:48.974, 14053 MiB, 16303 MiB, 0 %, 47, 20.00 W
2026/05/12 00:10:53.975, 14053 MiB, 16303 MiB, 0 %, 47, 19.98 W
2026/05/12 00:10:58.975, 14053 MiB, 16303 MiB, 0 %, 46, 6.40 W
2026/05/12 00:11:03.976, 14053 MiB, 16303 MiB, 0 %, 46, 6.32 W
2026/05/12 00:11:08.976, 14053 MiB, 16303 MiB, 0 %, 45, 6.36 W
2026/05/12 00:11:13.977, 14053 MiB, 16303 MiB, 0 %, 45, 6.31 W
2026/05/12 00:11:18.978, 14075 MiB, 16303 MiB, 99 %, 56, 153.32 W
2026/05/12 00:11:23.978, 14075 MiB, 16303 MiB, 99 %, 59, 154.91 W
2026/05/12 00:11:28.979, 14075 MiB, 16303 MiB, 99 %, 62, 156.11 W
2026/05/12 00:11:33.979, 14075 MiB, 16303 MiB, 99 %, 64, 157.24 W
2026/05/12 00:11:38.980, 14075 MiB, 16303 MiB, 99 %, 65, 158.14 W
2026/05/12 00:11:43.980, 14075 MiB, 16303 MiB, 99 %, 67, 158.09 W
2026/05/12 00:11:48.981, 14075 MiB, 16303 MiB, 99 %, 68, 158.24 W
2026/05/12 00:11:53.981, 14075 MiB, 16303 MiB, 99 %, 70, 158.37 W
2026/05/12 00:11:58.982, 14075 MiB, 16303 MiB, 99 %, 71, 158.01 W
2026/05/12 00:12:03.982, 14075 MiB, 16303 MiB, 99 %, 72, 155.91 W
2026/05/12 00:12:08.983, 14075 MiB, 16303 MiB, 99 %, 73, 158.25 W
2026/05/12 00:12:13.984, 14075 MiB, 16303 MiB, 99 %, 73, 159.08 W
2026/05/12 00:12:18.984, 14075 MiB, 16303 MiB, 99 %, 75, 157.78 W
2026/05/12 00:12:23.985, 14075 MiB, 16303 MiB, 99 %, 75, 159.32 W
2026/05/12 00:12:28.985, 14075 MiB, 16303 MiB, 99 %, 76, 158.23 W
2026/05/12 00:12:33.986, 14075 MiB, 16303 MiB, 99 %, 76, 159.10 W
2026/05/12 00:12:38.986, 14075 MiB, 16303 MiB, 99 %, 77, 159.63 W
2026/05/12 00:12:43.987, 14075 MiB, 16303 MiB, 97 %, 78, 158.83 W
2026/05/12 00:12:48.987, 14075 MiB, 16303 MiB, 99 %, 78, 159.31 W
2026/05/12 00:12:53.988, 14075 MiB, 16303 MiB, 0 %, 70, 24.55 W
2026/05/12 00:12:58.988, 14079 MiB, 16303 MiB, 0 %, 67, 24.22 W
2026/05/12 00:13:03.989, 14079 MiB, 16303 MiB, 0 %, 65, 23.56 W
2026/05/12 00:13:08.990, 14079 MiB, 16303 MiB, 0 %, 63, 23.12 W
2026/05/12 00:13:13.990, 14079 MiB, 16303 MiB, 0 %, 61, 13.41 W
2026/05/12 00:13:18.991, 14079 MiB, 16303 MiB, 0 %, 59, 8.06 W
2026/05/12 00:13:23.991, 14079 MiB, 16303 MiB, 0 %, 57, 7.83 W
2026/05/12 00:13:28.992, 14079 MiB, 16303 MiB, 0 %, 56, 7.75 W
2026/05/12 00:13:33.992, 14079 MiB, 16303 MiB, 0 %, 55, 7.46 W
2026/05/12 00:13:38.993, 14079 MiB, 16303 MiB, 0 %, 53, 7.27 W
2026/05/12 00:13:43.993, 14081 MiB, 16303 MiB, 91 %, 57, 68.14 W
2026/05/12 00:13:48.994, 14085 MiB, 16303 MiB, 79 %, 62, 158.18 W
2026/05/12 00:13:53.994, 14085 MiB, 16303 MiB, 99 %, 65, 157.07 W
2026/05/12 00:13:58.995, 14085 MiB, 16303 MiB, 99 %, 67, 159.75 W
2026/05/12 00:14:03.996, 14085 MiB, 16303 MiB, 99 %, 69, 157.85 W
2026/05/12 00:14:08.996, 14085 MiB, 16303 MiB, 99 %, 70, 159.62 W
2026/05/12 00:14:13.997, 14085 MiB, 16303 MiB, 99 %, 72, 158.09 W
2026/05/12 00:14:18.997, 14085 MiB, 16303 MiB, 99 %, 73, 158.33 W
2026/05/12 00:14:23.998, 14085 MiB, 16303 MiB, 99 %, 74, 158.17 W
2026/05/12 00:14:28.998, 14085 MiB, 16303 MiB, 99 %, 75, 159.11 W
2026/05/12 00:14:33.999, 14085 MiB, 16303 MiB, 99 %, 75, 158.68 W
2026/05/12 00:14:38.999, 14085 MiB, 16303 MiB, 99 %, 76, 159.12 W
2026/05/12 00:14:44.000, 14085 MiB, 16303 MiB, 99 %, 77, 159.20 W
2026/05/12 00:14:49.000, 14085 MiB, 16303 MiB, 96 %, 77, 158.84 W
2026/05/12 00:14:54.001, 14085 MiB, 16303 MiB, 99 %, 78, 159.03 W
2026/05/12 00:14:59.001, 14085 MiB, 16303 MiB, 98 %, 79, 158.82 W
2026/05/12 00:15:04.002, 14085 MiB, 16303 MiB, 99 %, 79, 157.40 W
2026/05/12 00:15:09.002, 14085 MiB, 16303 MiB, 99 %, 80, 159.00 W
2026/05/12 00:15:14.003, 14085 MiB, 16303 MiB, 99 %, 80, 159.25 W
