timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], temperature.gpu, power.draw [W]
2026/05/11 20:09:24.475, 143 MiB, 16303 MiB, 73 %, 44, 27.31 W
2026/05/11 20:09:29.488, 12251 MiB, 16303 MiB, 31 %, 46, 31.30 W
2026/05/11 20:09:34.488, 12253 MiB, 16303 MiB, 2 %, 46, 21.04 W
2026/05/11 20:09:39.488, 12255 MiB, 16303 MiB, 30 %, 46, 25.01 W
2026/05/11 20:09:44.489, 12256 MiB, 16303 MiB, 29 %, 47, 27.95 W
2026/05/11 20:09:49.489, 12256 MiB, 16303 MiB, 30 %, 47, 25.34 W
2026/05/11 20:09:54.490, 12256 MiB, 16303 MiB, 0 %, 47, 19.93 W
2026/05/11 20:09:59.490, 12353 MiB, 16303 MiB, 7 %, 47, 24.95 W
2026/05/11 20:10:04.491, 12355 MiB, 16303 MiB, 0 %, 46, 20.28 W
2026/05/11 20:10:09.491, 12355 MiB, 16303 MiB, 0 %, 47, 20.19 W
2026/05/11 20:10:14.492, 12355 MiB, 16303 MiB, 1 %, 47, 20.41 W
2026/05/11 20:10:19.493, 12355 MiB, 16303 MiB, 5 %, 46, 15.78 W
2026/05/11 20:10:24.493, 12355 MiB, 16303 MiB, 5 %, 47, 22.98 W
2026/05/11 20:10:29.494, 12355 MiB, 16303 MiB, 0 %, 46, 20.06 W
2026/05/11 20:10:34.494, 12355 MiB, 16303 MiB, 1 %, 47, 23.15 W
2026/05/11 20:10:39.495, 12355 MiB, 16303 MiB, 0 %, 47, 20.20 W
2026/05/11 20:10:44.495, 12355 MiB, 16303 MiB, 0 %, 47, 17.06 W
2026/05/11 20:10:49.496, 12355 MiB, 16303 MiB, 5 %, 47, 21.29 W
2026/05/11 20:10:54.496, 12355 MiB, 16303 MiB, 52 %, 48, 30.23 W
2026/05/11 20:10:59.497, 12355 MiB, 16303 MiB, 14 %, 47, 25.37 W
2026/05/11 20:11:04.498, 12355 MiB, 16303 MiB, 9 %, 47, 18.96 W
2026/05/11 20:11:09.498, 12357 MiB, 16303 MiB, 92 %, 52, 64.41 W
2026/05/11 20:11:14.499, 14051 MiB, 16303 MiB, 28 %, 49, 30.97 W
2026/05/11 20:11:19.499, 14051 MiB, 16303 MiB, 0 %, 48, 20.74 W
2026/05/11 20:11:24.500, 14051 MiB, 16303 MiB, 29 %, 49, 28.33 W
2026/05/11 20:11:29.500, 14053 MiB, 16303 MiB, 1 %, 48, 20.84 W
2026/05/11 20:11:34.501, 14053 MiB, 16303 MiB, 81 %, 48, 27.94 W
2026/05/11 20:11:39.501, 14053 MiB, 16303 MiB, 69 %, 48, 28.85 W
2026/05/11 20:11:44.502, 14053 MiB, 16303 MiB, 10 %, 48, 22.28 W
2026/05/11 20:11:49.502, 14053 MiB, 16303 MiB, 23 %, 47, 10.42 W
2026/05/11 20:11:54.504, 14053 MiB, 16303 MiB, 62 %, 48, 29.98 W
2026/05/11 20:11:59.513, 14075 MiB, 16303 MiB, 99 %, 59, 156.30 W
2026/05/11 20:12:04.514, 14075 MiB, 16303 MiB, 99 %, 61, 156.02 W
2026/05/11 20:12:09.514, 14075 MiB, 16303 MiB, 99 %, 64, 156.82 W
2026/05/11 20:12:14.514, 14075 MiB, 16303 MiB, 99 %, 66, 155.45 W
2026/05/11 20:12:19.515, 14075 MiB, 16303 MiB, 99 %, 67, 158.04 W
2026/05/11 20:12:24.515, 14075 MiB, 16303 MiB, 99 %, 69, 158.50 W
2026/05/11 20:12:29.516, 14075 MiB, 16303 MiB, 99 %, 70, 158.68 W
2026/05/11 20:12:34.517, 14075 MiB, 16303 MiB, 99 %, 72, 156.78 W
